Id;H  [deg];V  [deg];D  [mm];U(95)  [mm];U(95) H  [deg];U(95) V  [deg];U(95) D  [mm];Tilt  [deg];Q0 ;Q1 ;Q2 ;Q3 ;Image RMS  [µm];Target;Temperature  [°C];Pressure  [mBar];Humidity  [%];Time Stamp;OTG Applied;Delete;
1;112.1042;90.2711;7986.104;0.000;0.0000;0.0000;0.000;3.7722;0.576302;-0.571809;-0.411227;0.414491;0.27;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;961;68;'29.06.2021 09:33:30.270;True;;
2;112.1042;90.2711;7985.927;0.000;0.0000;0.0000;0.000;3.7750;0.576271;-0.571831;-0.411249;0.414482;0.27;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;961;68;'29.06.2021 09:33:30.280;True;;
3;112.1041;90.2711;7985.748;0.000;0.0000;0.0000;0.000;3.7776;0.576241;-0.571853;-0.411271;0.414471;0.28;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;961;68;'29.06.2021 09:33:30.290;True;;
4;112.1040;90.2711;7985.566;0.000;0.0000;0.0000;0.000;3.7799;0.576211;-0.571878;-0.411291;0.414458;0.27;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;961;68;'29.06.2021 09:33:30.300;True;;
5;112.1039;90.2711;7985.385;0.000;0.0000;0.0000;0.000;3.7816;0.576185;-0.571902;-0.411304;0.414449;0.27;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;961;68;'29.06.2021 09:33:30.310;True;;
6;112.1038;90.2711;7985.199;0.000;0.0000;0.0000;0.000;3.7849;0.576154;-0.571920;-0.411330;0.414442;0.27;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;961;68;'29.06.2021 09:33:30.320;True;;
7;112.1037;90.2711;7985.010;0.000;0.0000;0.0000;0.000;3.7892;0.576118;-0.571934;-0.411363;0.414439;0.27;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;961;68;'29.06.2021 09:33:30.330;True;;
8;112.1036;90.2711;7984.821;0.000;0.0000;0.0000;0.000;3.7922;0.576088;-0.571951;-0.411381;0.414438;0.28;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;961;68;'29.06.2021 09:33:30.340;True;;
9;112.1035;90.2711;7984.634;0.000;0.0000;0.0000;0.000;3.7939;0.576071;-0.571962;-0.411396;0.414434;0.27;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;961;68;'29.06.2021 09:33:30.350;True;;
10;112.1033;90.2711;7984.439;0.000;0.0000;0.0000;0.000;3.7969;0.576040;-0.571980;-0.411416;0.414432;0.27;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;961;68;'29.06.2021 09:33:30.360;True;;
11;112.1032;90.2712;7984.245;0.000;0.0000;0.0000;0.000;3.7987;0.576021;-0.571992;-0.411430;0.414428;0.28;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;961;68;'29.06.2021 09:33:30.370;True;;
12;112.1031;90.2712;7984.047;0.000;0.0000;0.0000;0.000;3.8008;0.575999;-0.572006;-0.411444;0.414425;0.28;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;961;68;'29.06.2021 09:33:30.380;True;;
13;112.1030;90.2712;7983.846;0.000;0.0000;0.0000;0.000;3.8023;0.575978;-0.572023;-0.411452;0.414423;0.30;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;961;68;'29.06.2021 09:33:30.390;True;;
14;112.1028;90.2712;7983.649;0.000;0.0000;0.0000;0.000;3.8047;0.575960;-0.572025;-0.411462;0.414436;0.33;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;961;68;'29.06.2021 09:33:30.400;True;;
15;112.1026;90.2712;7983.446;0.000;0.0000;0.0000;0.000;3.8081;0.575935;-0.572026;-0.411478;0.414452;0.36;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;961;68;'29.06.2021 09:33:30.410;True;;
16;112.1024;90.2712;7983.244;0.000;0.0000;0.0000;0.000;3.8101;0.575921;-0.572025;-0.411483;0.414468;0.38;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;961;68;'29.06.2021 09:33:30.420;True;;
17;112.1022;90.2712;7983.037;0.000;0.0000;0.0000;0.000;3.8124;0.575907;-0.572023;-0.411496;0.414478;0.39;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;961;68;'29.06.2021 09:33:30.430;True;;
18;112.1020;90.2712;7982.831;0.000;0.0000;0.0000;0.000;3.8136;0.575901;-0.572017;-0.411498;0.414492;0.40;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;961;68;'29.06.2021 09:33:30.440;True;;
19;112.1019;90.2712;7982.620;0.000;0.0000;0.0000;0.000;3.8157;0.575892;-0.572009;-0.411512;0.414502;0.43;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;961;68;'29.06.2021 09:33:30.450;True;;
20;112.1017;90.2712;7982.403;0.000;0.0000;0.0000;0.000;3.8189;0.575873;-0.572005;-0.411525;0.414522;0.45;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;961;68;'29.06.2021 09:33:30.460;True;;
21;112.1015;90.2712;7982.190;0.000;0.0000;0.0000;0.000;3.8206;0.575869;-0.571991;-0.411529;0.414542;0.46;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;961;68;'29.06.2021 09:33:30.470;True;;
22;112.1013;90.2712;7981.976;0.000;0.0000;0.0000;0.000;3.8217;0.575870;-0.571975;-0.411528;0.414564;0.50;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;961;68;'29.06.2021 09:33:30.480;True;;
23;112.1011;90.2712;7981.756;0.000;0.0000;0.0000;0.000;3.8237;0.575865;-0.571960;-0.411534;0.414586;0.52;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;961;68;'29.06.2021 09:33:30.490;True;;
24;112.1009;90.2712;7981.539;0.000;0.0000;0.0000;0.000;3.8264;0.575865;-0.571929;-0.411541;0.414622;0.54;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;961;68;'29.06.2021 09:33:30.500;True;;
25;112.1006;90.2713;7981.317;0.000;0.0000;0.0000;0.000;3.8270;0.575872;-0.571909;-0.411536;0.414644;0.55;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;961;68;'29.06.2021 09:33:30.510;True;;
26;112.1004;90.2713;7981.093;0.000;0.0000;0.0000;0.000;3.8288;0.575875;-0.571882;-0.411540;0.414673;0.58;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;961;68;'29.06.2021 09:33:30.520;True;;
27;112.1002;90.2713;7980.868;0.000;0.0000;0.0000;0.000;3.8302;0.575884;-0.571851;-0.411541;0.414702;0.58;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;961;68;'29.06.2021 09:33:30.530;True;;
28;112.1000;90.2712;7980.640;0.000;0.0000;0.0000;0.000;3.8316;0.575893;-0.571819;-0.411542;0.414732;0.58;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;961;68;'29.06.2021 09:33:30.540;True;;
29;112.0997;90.2713;7980.414;0.000;0.0000;0.0000;0.000;3.8327;0.575909;-0.571780;-0.411541;0.414765;0.58;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;961;68;'29.06.2021 09:33:30.550;True;;
30;112.0995;90.2713;7980.185;0.000;0.0000;0.0000;0.000;3.8344;0.575925;-0.571736;-0.411543;0.414802;0.58;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;961;68;'29.06.2021 09:33:30.560;True;;
31;112.0992;90.2713;7979.951;0.000;0.0000;0.0000;0.000;3.8356;0.575939;-0.571698;-0.411543;0.414834;0.59;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;961;68;'29.06.2021 09:33:30.570;True;;
