Id;H  [deg];V  [deg];D  [mm];U(95)  [mm];U(95) H  [deg];U(95) V  [deg];U(95) D  [mm];Tilt  [deg];Q0 ;Q1 ;Q2 ;Q3 ;Image RMS  [µm];Target;Temperature  [°C];Pressure  [mBar];Humidity  [%];Time Stamp;OTG Applied;Delete;
14071;112.0154;90.3145;6919.844;0.000;0.0000;0.0000;0.000;3.9142;0.576394;-0.570378;-0.412019;0.415547;0.32;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.6;962;67;'29.06.2021 09:38:18.590;True;;
14072;112.0156;90.3145;6919.848;0.000;0.0000;0.0000;0.000;3.9132;0.576400;-0.570380;-0.412009;0.415545;0.32;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.6;962;67;'29.06.2021 09:38:18.600;True;;
14073;112.0159;90.3145;6919.850;0.000;0.0000;0.0000;0.000;3.9137;0.576397;-0.570379;-0.412008;0.415551;0.32;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.6;962;67;'29.06.2021 09:38:18.610;True;;
14074;112.0162;90.3145;6919.847;0.000;0.0000;0.0000;0.000;3.9148;0.576387;-0.570387;-0.412012;0.415551;0.33;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.6;962;67;'29.06.2021 09:38:18.620;True;;
14075;112.0164;90.3145;6919.850;0.000;0.0000;0.0000;0.000;3.9147;0.576388;-0.570388;-0.412007;0.415554;0.33;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.6;962;67;'29.06.2021 09:38:18.630;True;;
14076;112.0167;90.3145;6919.852;0.000;0.0000;0.0000;0.000;3.9131;0.576396;-0.570394;-0.411995;0.415547;0.33;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.6;962;67;'29.06.2021 09:38:18.640;True;;
14077;112.0169;90.3145;6919.853;0.000;0.0000;0.0000;0.000;3.9147;0.576388;-0.570391;-0.412000;0.415556;0.32;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.6;962;67;'29.06.2021 09:38:18.650;True;;
14078;112.0171;90.3145;6919.855;0.000;0.0000;0.0000;0.000;3.9155;0.576383;-0.570392;-0.411998;0.415564;0.33;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.6;962;67;'29.06.2021 09:38:18.660;True;;
14079;112.0174;90.3145;6919.857;0.000;0.0000;0.0000;0.000;3.9146;0.576388;-0.570395;-0.411990;0.415561;0.33;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.6;962;67;'29.06.2021 09:38:18.670;True;;
14080;112.0177;90.3145;6919.858;0.000;0.0000;0.0000;0.000;3.9151;0.576385;-0.570396;-0.411990;0.415563;0.34;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.6;962;67;'29.06.2021 09:38:18.680;True;;
14081;112.0179;90.3145;6919.860;0.000;0.0000;0.0000;0.000;3.9145;0.576389;-0.570398;-0.411984;0.415560;0.35;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.6;962;67;'29.06.2021 09:38:18.690;True;;
14082;112.0182;90.3145;6919.859;0.000;0.0000;0.0000;0.000;3.9151;0.576381;-0.570406;-0.411982;0.415563;0.33;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.6;962;67;'29.06.2021 09:38:18.700;True;;
14083;112.0184;90.3145;6919.861;0.000;0.0000;0.0000;0.000;3.9153;0.576380;-0.570406;-0.411979;0.415568;0.34;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.6;962;67;'29.06.2021 09:38:18.710;True;;
14084;112.0187;90.3145;6919.863;0.000;0.0000;0.0000;0.000;3.9151;0.576381;-0.570408;-0.411976;0.415566;0.34;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.6;962;67;'29.06.2021 09:38:18.720;True;;
14085;112.0190;90.3145;6919.866;0.000;0.0000;0.0000;0.000;3.9148;0.576382;-0.570410;-0.411968;0.415570;0.34;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.6;962;67;'29.06.2021 09:38:18.730;True;;
14086;112.0192;90.3145;6919.866;0.000;0.0000;0.0000;0.000;3.9143;0.576384;-0.570415;-0.411964;0.415565;0.34;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.6;962;67;'29.06.2021 09:38:18.740;True;;
14087;112.0195;90.3145;6919.866;0.000;0.0000;0.0000;0.000;3.9152;0.576380;-0.570414;-0.411969;0.415565;0.35;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.6;962;67;'29.06.2021 09:38:18.750;True;;
14088;112.0197;90.3145;6919.867;0.000;0.0000;0.0000;0.000;3.9155;0.576378;-0.570417;-0.411967;0.415567;0.34;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.6;962;67;'29.06.2021 09:38:18.760;True;;
14089;112.0200;90.3145;6919.869;0.000;0.0000;0.0000;0.000;3.9150;0.576380;-0.570419;-0.411961;0.415566;0.34;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.6;962;67;'29.06.2021 09:38:18.770;True;;
14090;112.0202;90.3145;6919.871;0.000;0.0000;0.0000;0.000;3.9148;0.576381;-0.570421;-0.411954;0.415569;0.34;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.6;962;67;'29.06.2021 09:38:18.780;True;;
14091;112.0205;90.3145;6919.870;0.000;0.0000;0.0000;0.000;3.9150;0.576379;-0.570426;-0.411955;0.415565;0.33;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.6;962;67;'29.06.2021 09:38:18.790;True;;
14092;112.0208;90.3145;6919.872;0.000;0.0000;0.0000;0.000;3.9152;0.576379;-0.570426;-0.411954;0.415567;0.33;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.6;962;67;'29.06.2021 09:38:18.800;True;;
14093;112.0210;90.3145;6919.874;0.000;0.0000;0.0000;0.000;3.9144;0.576380;-0.570432;-0.411944;0.415567;0.34;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.6;962;67;'29.06.2021 09:38:18.810;True;;
14094;112.0213;90.3145;6919.874;0.000;0.0000;0.0000;0.000;3.9149;0.576380;-0.570430;-0.411947;0.415566;0.33;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.6;962;67;'29.06.2021 09:38:18.820;True;;
14095;112.0215;90.3145;6919.876;0.000;0.0000;0.0000;0.000;3.9138;0.576385;-0.570435;-0.411939;0.415559;0.31;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.6;962;67;'29.06.2021 09:38:18.830;True;;
14096;112.0218;90.3145;6919.877;0.000;0.0000;0.0000;0.000;3.9142;0.576384;-0.570435;-0.411938;0.415563;0.31;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.6;962;67;'29.06.2021 09:38:18.840;True;;
14097;112.0220;90.3145;6919.879;0.000;0.0000;0.0000;0.000;3.9146;0.576382;-0.570435;-0.411936;0.415567;0.32;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.6;962;67;'29.06.2021 09:38:18.850;True;;
14098;112.0223;90.3145;6919.882;0.000;0.0000;0.0000;0.000;3.9140;0.576387;-0.570436;-0.411929;0.415567;0.31;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.6;962;67;'29.06.2021 09:38:18.860;True;;
14099;112.0225;90.3145;6919.878;0.000;0.0000;0.0000;0.000;3.9146;0.576378;-0.570445;-0.411932;0.415563;0.32;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.6;962;67;'29.06.2021 09:38:18.870;True;;
14100;112.0228;90.3145;6919.883;0.000;0.0000;0.0000;0.000;3.9154;0.576378;-0.570438;-0.411929;0.415576;0.31;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.6;962;67;'29.06.2021 09:38:18.880;True;;
14101;112.0230;90.3145;6919.884;0.000;0.0000;0.0000;0.000;3.9141;0.576383;-0.570446;-0.411920;0.415568;0.30;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.6;962;67;'29.06.2021 09:38:18.890;True;;
14102;112.0233;90.3145;6919.884;0.000;0.0000;0.0000;0.000;3.9137;0.576383;-0.570450;-0.411915;0.415565;0.32;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.6;962;67;'29.06.2021 09:38:18.900;True;;
14103;112.0235;90.3145;6919.886;0.000;0.0000;0.0000;0.000;3.9139;0.576384;-0.570449;-0.411915;0.415566;0.32;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.6;962;67;'29.06.2021 09:38:18.910;True;;
14104;112.0237;90.3145;6919.889;0.000;0.0000;0.0000;0.000;3.9135;0.576387;-0.570450;-0.411909;0.415567;0.31;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.6;962;67;'29.06.2021 09:38:18.920;True;;
14105;112.0240;90.3145;6919.887;0.000;0.0000;0.0000;0.000;3.9148;0.576379;-0.570452;-0.411914;0.415571;0.30;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.6;962;67;'29.06.2021 09:38:18.930;True;;
14106;112.0242;90.3145;6919.890;0.000;0.0000;0.0000;0.000;3.9139;0.576382;-0.570456;-0.411902;0.415572;0.31;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.6;962;67;'29.06.2021 09:38:18.940;True;;
14107;112.0244;90.3145;6919.888;0.000;0.0000;0.0000;0.000;3.9142;0.576377;-0.570462;-0.411901;0.415571;0.31;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.6;962;67;'29.06.2021 09:38:18.950;True;;
14108;112.0247;90.3145;6919.890;0.000;0.0000;0.0000;0.000;3.9133;0.576383;-0.570464;-0.411895;0.415567;0.31;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.6;962;67;'29.06.2021 09:38:18.960;True;;
14109;112.0249;90.3145;6919.889;0.000;0.0000;0.0000;0.000;3.9145;0.576376;-0.570466;-0.411899;0.415570;0.31;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.6;962;67;'29.06.2021 09:38:18.970;True;;
14110;112.0251;90.3145;6919.894;0.000;0.0000;0.0000;0.000;3.9130;0.576384;-0.570467;-0.411885;0.415571;0.32;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.6;962;67;'29.06.2021 09:38:18.980;True;;
14111;112.0254;90.3145;6919.890;0.000;0.0000;0.0000;0.000;3.9137;0.576377;-0.570475;-0.411889;0.415567;0.32;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.6;962;67;'29.06.2021 09:38:18.990;True;;
14112;112.0256;90.3145;6919.897;0.000;0.0000;0.0000;0.000;3.9142;0.576381;-0.570464;-0.411888;0.415577;0.31;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.6;962;67;'29.06.2021 09:38:19.000;True;;
14113;112.0258;90.3145;6919.897;0.000;0.0000;0.0000;0.000;3.9135;0.576382;-0.570470;-0.411879;0.415576;0.31;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.6;962;67;'29.06.2021 09:38:19.010;True;;
