Id;H  [deg];V  [deg];D  [mm];U(95)  [mm];U(95) H  [deg];U(95) V  [deg];U(95) D  [mm];Tilt  [deg];Q0 ;Q1 ;Q2 ;Q3 ;Image RMS  [µm];Target;Temperature  [°C];Pressure  [mBar];Humidity  [%];Time Stamp;OTG Applied;Delete;
1;-95.4562;90.3168;7044.733;0.000;0.0000;0.0000;0.000;4.9947;0.543575;-0.541039;0.452418;-0.455105;0.35;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;65;'29.06.2021 09:56:22.530;True;;
2;-95.4562;90.3168;7044.722;0.000;0.0000;0.0000;0.000;4.9939;0.543557;-0.541045;0.452433;-0.455105;0.35;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;65;'29.06.2021 09:56:22.540;True;;
3;-95.4562;90.3168;7044.723;0.000;0.0000;0.0000;0.000;4.9927;0.543561;-0.541034;0.452433;-0.455113;0.36;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;65;'29.06.2021 09:56:22.550;True;;
4;-95.4562;90.3168;7044.721;0.000;0.0000;0.0000;0.000;4.9919;0.543557;-0.541031;0.452438;-0.455116;0.36;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;65;'29.06.2021 09:56:22.560;True;;
5;-95.4563;90.3168;7044.722;0.000;0.0000;0.0000;0.000;4.9914;0.543560;-0.541026;0.452437;-0.455120;0.34;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;65;'29.06.2021 09:56:22.570;True;;
6;-95.4563;90.3168;7044.721;0.000;0.0000;0.0000;0.000;4.9914;0.543557;-0.541028;0.452439;-0.455119;0.34;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;65;'29.06.2021 09:56:22.580;True;;
7;-95.4562;90.3168;7044.722;0.000;0.0000;0.0000;0.000;4.9908;0.543553;-0.541027;0.452440;-0.455125;0.34;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;65;'29.06.2021 09:56:22.590;True;;
8;-95.4562;90.3168;7044.724;0.000;0.0000;0.0000;0.000;4.9907;0.543555;-0.541025;0.452439;-0.455125;0.34;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;65;'29.06.2021 09:56:22.600;True;;
9;-95.4563;90.3168;7044.726;0.000;0.0000;0.0000;0.000;4.9918;0.543558;-0.541031;0.452434;-0.455119;0.35;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;65;'29.06.2021 09:56:22.610;True;;
10;-95.4563;90.3168;7044.729;0.000;0.0000;0.0000;0.000;4.9928;0.543561;-0.541035;0.452431;-0.455113;0.35;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;65;'29.06.2021 09:56:22.620;True;;
