   0.000 0.0    0.197 0.0 
   0.030 0.0    0.194 0.0 
   0.064 0.0    0.190 0.0 
   0.090 0.0    0.186 0.0 
   0.121 0.0    0.183 0.0 
   0.150 0.0    0.179 0.0 
   0.181 0.0    0.174 0.0 
   0.210 0.0    0.168 0.0 
   0.240 0.0    0.162 0.0 
   0.271 0.0    0.156 0.0 
   0.301 0.0    0.150 0.0 
   0.331 0.0    0.144 0.0 
   0.362 0.0    0.140 0.0 
   0.392 0.0    0.136 0.0 
   0.422 0.0    0.129 0.0 
   0.457 0.0    0.123 0.0 
   0.487 0.0    0.115 0.0 
   0.517 0.0    0.106 0.0 
   0.543 0.0    0.098 0.0 
   0.578 0.0    0.089 0.0 
   0.607 0.0    0.080 0.0 
   0.638 0.0    0.071 0.0 
   0.664 0.0    0.062 0.0 
   0.694 0.0    0.053 0.0 
   0.727 0.0    0.046 0.0 
   0.759 0.0    0.038 0.0 
   0.785 0.0    0.032 0.0 
   0.819 0.0    0.026 0.0 
   0.851 0.0    0.019 0.0 
   0.876 0.0    0.009 0.0 
   0.909 0.0   -0.001 0.0 
   0.936 0.0   -0.012 0.0 
   0.966 0.0   -0.024 0.0 
   0.997 0.0   -0.036 0.0 
   1.026 0.0   -0.049 0.0 
   1.057 0.0   -0.061 0.0 
   1.087 0.0   -0.073 0.0 
   1.123 0.0   -0.085 0.0 
   1.153 0.0   -0.095 0.0 
   1.180 0.0   -0.103 0.0 
   1.214 0.0   -0.110 0.0 
   1.240 0.0   -0.118 0.0 
   1.274 0.0   -0.122 0.0 
   1.301 0.0   -0.127 0.0 
   1.330 0.0   -0.131 0.0 
   1.365 0.0   -0.136 0.0 
   1.391 0.0   -0.140 0.0 
   1.426 0.0   -0.144 0.0 
   1.451 0.0   -0.148 0.0 
   1.482 0.0   -0.152 0.0 
   1.512 0.0   -0.156 0.0 
   1.542 0.0   -0.160 0.0 
   1.573 0.0   -0.163 0.0 
   1.603 0.0   -0.166 0.0 
   1.633 0.0   -0.169 0.0 
   1.668 0.0   -0.172 0.0 
   1.698 0.0   -0.175 0.0 
   1.724 0.0   -0.178 0.0 
   1.754 0.0   -0.180 0.0 
   1.785 0.0   -0.182 0.0 
   1.815 0.0   -0.185 0.0 
   1.849 0.0   -0.187 0.0 
   1.875 0.0   -0.188 0.0 
   1.905 0.0   -0.190 0.0 
   1.935 0.0   -0.192 0.0 
   1.966 0.0   -0.193 0.0 
   2.000 0.0   -0.194 0.0 
   2.026 0.0   -0.194 0.0 
   2.056 0.0   -0.195 0.0 
   2.091 0.0   -0.195 0.0 
   2.117 0.0   -0.194 0.0 
   2.147 0.0   -0.194 0.0 
   2.177 0.0   -0.193 0.0 
   2.208 0.0   -0.192 0.0 
   2.238 0.0   -0.190 0.0 
   2.268 0.0   -0.188 0.0 
   2.298 0.0   -0.185 0.0 
   2.328 0.0   -0.182 0.0 
   2.359 0.0   -0.179 0.0 
   2.394 0.0   -0.176 0.0 
   2.423 0.0   -0.172 0.0 
   2.449 0.0   -0.168 0.0 
   2.480 0.0   -0.162 0.0 
   2.511 0.0   -0.157 0.0 
   2.545 0.0   -0.152 0.0 
   2.570 0.0   -0.146 0.0 
   2.605 0.0   -0.140 0.0 
   2.636 0.0   -0.134 0.0 
   2.661 0.0   -0.128 0.0 
   2.695 0.0   -0.121 0.0 
   2.721 0.0   -0.115 0.0 
   2.752 0.0   -0.105 0.0 
   2.782 0.0   -0.097 0.0 
   2.813 0.0   -0.088 0.0 
   2.847 0.0   -0.079 0.0 
   2.877 0.0   -0.071 0.0 
   2.904 0.0   -0.061 0.0 
   2.937 0.0   -0.052 0.0 
   2.970 0.0   -0.043 0.0 
   2.997 0.0   -0.035 0.0 
   3.024 0.0   -0.026 0.0 
   3.049 0.0   -0.020 0.0 
   3.084 0.0   -0.014 0.0 
   3.119 0.0   -0.002 0.0 
   3.143 0.0    0.009 0.0 
   3.171 0.0    0.020 0.0 
   3.205 0.0    0.031 0.0 
   3.233 0.0    0.043 0.0 
   3.269 0.0    0.054 0.0 
   3.299 0.0    0.065 0.0 
   3.325 0.0    0.076 0.0 
   3.356 0.0    0.087 0.0 
   3.386 0.0    0.097 0.0 
   3.421 0.0    0.102 0.0 
   3.447 0.0    0.108 0.0 
   3.481 0.0    0.113 0.0 
   3.507 0.0    0.118 0.0 
   3.537 0.0    0.123 0.0 
   3.567 0.0    0.127 0.0 
   3.602 0.0    0.132 0.0 
   3.633 0.0    0.136 0.0 
   3.658 0.0    0.141 0.0 
   3.692 0.0    0.146 0.0 
   3.719 0.0    0.151 0.0 
   3.749 0.0    0.156 0.0 
   3.783 0.0    0.161 0.0 
   3.809 0.0    0.165 0.0 
   3.840 0.0    0.169 0.0 
   3.870 0.0    0.174 0.0 
   3.900 0.0    0.178 0.0 
   3.930 0.0    0.181 0.0 
   3.965 0.0    0.185 0.0 
   3.991 0.0    0.187 0.0 
   4.021 0.0    0.189 0.0 
   4.052 0.0    0.190 0.0 
   4.082 0.0    0.192 0.0 
   4.112 0.0    0.192 0.0 
   4.146 0.0    0.193 0.0 
   4.175 0.0    0.193 0.0 
   4.207 0.0    0.193 0.0 
   4.233 0.0    0.192 0.0 
   4.264 0.0    0.192 0.0 
   4.294 0.0    0.191 0.0 
   4.324 0.0    0.189 0.0 
   4.354 0.0    0.186 0.0 
   4.388 0.0    0.184 0.0 
   4.415 0.0    0.181 0.0 
   4.445 0.0    0.178 0.0 
   4.475 0.0    0.174 0.0 
   4.509 0.0    0.170 0.0 
   4.536 0.0    0.166 0.0 
   4.566 0.0    0.161 0.0 
   4.600 0.0    0.157 0.0 
   4.627 0.0    0.151 0.0 
   4.657 0.0    0.145 0.0 
   4.687 0.0    0.139 0.0 
   4.718 0.0    0.132 0.0 
   4.752 0.0    0.124 0.0 
   4.781 0.0    0.115 0.0 
   4.808 0.0    0.104 0.0 
   4.838 0.0    0.093 0.0 
   4.873 0.0    0.082 0.0 
   4.902 0.0    0.070 0.0 
   4.929 0.0    0.060 0.0 
   4.963 0.0    0.050 0.0 
   4.993 0.0    0.039 0.0 
   5.023 0.0    0.029 0.0 
   5.050 0.0    0.021 0.0 
   5.080 0.0    0.013 0.0 
   5.110 0.0    0.007 0.0 
   5.141 0.0   -0.001 0.0 
   5.171 0.0   -0.009 0.0 
   5.204 0.0   -0.016 0.0 
   5.235 0.0   -0.024 0.0 
   5.265 0.0   -0.032 0.0 
   5.296 0.0   -0.039 0.0 
   5.326 0.0   -0.047 0.0 
   5.352 0.0   -0.055 0.0 
   5.387 0.0   -0.063 0.0 
   5.414 0.0   -0.072 0.0 
   5.443 0.0   -0.078 0.0 
   5.474 0.0   -0.085 0.0 
   5.508 0.0   -0.091 0.0 
   5.538 0.0   -0.099 0.0 
   5.565 0.0   -0.106 0.0 
   5.599 0.0   -0.114 0.0 
   5.626 0.0   -0.122 0.0 
   5.656 0.0   -0.129 0.0 
   5.685 0.0   -0.136 0.0 
   5.716 0.0   -0.142 0.0 
   5.746 0.0   -0.148 0.0 
   5.777 0.0   -0.153 0.0 
   5.807 0.0   -0.159 0.0 
   5.837 0.0   -0.164 0.0 
   5.867 0.0   -0.169 0.0 
   5.898 0.0   -0.172 0.0 
   5.928 0.0   -0.176 0.0 
   5.958 0.0   -0.179 0.0 
   5.988 0.0   -0.181 0.0 
   6.018 0.0   -0.184 0.0 
   6.052 0.0   -0.186 0.0 
   6.080 0.0   -0.187 0.0 
   6.113 0.0   -0.189 0.0 
   6.142 0.0   -0.189 0.0 
   6.173 0.0   -0.188 0.0 
   6.203 0.0   -0.188 0.0 
   6.231 0.0   -0.187 0.0 
   6.262 0.0   -0.185 0.0 
   6.290 0.0   -0.184 0.0 
   6.323 0.0   -0.182 0.0 
   6.351 0.0   -0.180 0.0 
   6.383 0.0   -0.178 0.0 
   6.411 0.0   -0.176 0.0 
   6.442 0.0   -0.174 0.0 
   6.472 0.0   -0.171 0.0 
   6.506 0.0   -0.167 0.0 
   6.537 0.0   -0.163 0.0 
   6.563 0.0   -0.159 0.0 
   6.597 0.0   -0.155 0.0 
   6.628 0.0   -0.150 0.0 
   6.657 0.0   -0.145 0.0 
   6.687 0.0   -0.140 0.0 
   6.719 0.0   -0.134 0.0 
   6.748 0.0   -0.128 0.0 
   6.778 0.0   -0.122 0.0 
   6.805 0.0   -0.116 0.0 
